Pantalon y Chavo;Kids Fashion;CPR-SML;Chavo Piel Rayas S-M-L;Unidad;150;10;9;8.5
Pantalon y Chavo;Kids Fashion;CPCE-SML;Chavo Piel Color Entero S-M-L;Unidad;150;10;9;8.5
Vestido Corto;Kids Fashion;VPCE;Vestido Paty Corto Estampado;Unidad;150;19;18;17
Vestido Corto;Kids Fashion;VJCE;Vestido Jalapita Corto Estampado;Unidad;150;19;18;17
Vestido Corto;Kids Fashion;VCCCE;Vestido Con Copa Corto Estampado;Unidad;150;20;19;18
Vestido Corto;Kids Fashion;VECE;Vestido Ela Corto Estampado;Unidad;150;22;21;20
Vestido Corto;Kids Fashion;VCACE;Vestido Con Amarre Corto Estampado;Unidad;150;19;18;17
Vestido Corto;Kids Fashion;VETCE;Vestido Eliza Tira Corto Estampado;Unidad;150;19;18;17
Vestido Corto;Kids Fashion;VMACE;Vestido Manga Acero Corto Estampado;Unidad;150;18;17;18
Vestido Corto;Kids Fashion;VCMCE;Vestido Con Manga Corto Estampado;Unidad;150;22;21;20
Vestido Corto;Kids Fashion;VECCE;Vestido Ela Corto Color Entero;Unidad;150;22;21;20
Vestido Corto;Kids Fashion;VLCCE;Vestido Lazo al costado Corto Color Entero;Unidad;150;22;21;20
Vestido Corto;Kids Fashion;VMACCE;Vestido Manga Acero Corto Color Entero;Unidad;150;22;21;20
Vestido Corto;Kids Fashion;VCCCE;Vestido Cargo Corto Color Entero;Unidad;150;22;21;20
Vestido Corto;Kids Fashion;VAPCCE;Vestido Amarre en el Pecho Corto Color Entero;Unidad;150;22;21;20
Vestido Corto;Kids Fashion;ESCCE;Enterizo Susana Corto Color Entero;Unidad;150;25;24;23
Vestido Corto;Kids Fashion;ERCCE;Enterizo Rumbera Corto Color Entero;Unidad;150;22;21;20
Vestido Largo;Kids Fashion;VJE;Vestido Jalapita Estampado;Unidad;150;23;22;21
Vestido Largo;Kids Fashion;VYE;Vestido Yeni Estampado;Unidad;150;23;22;21
Vestido Largo;Kids Fashion;VETE;Vestido Eliza Tira Estampado;Unidad;150;23;22;21
Vestido Largo;Kids Fashion;VBE;Vestido Bolas Estampado;Unidad;150;23;22;21
Vestido Largo;Kids Fashion;VCE;Vestido Cruzado Estampado;Unidad;150;23;22;21
Vestido Largo;Kids Fashion;VEE;Vestido Ela Estampado;Unidad;150;25;24;23
Vestido Largo;Kids Fashion;VBLE;Vestido Betty Largo Estampado;Unidad;150;27;26;25
Vestido Largo;Kids Fashion;VELE;Vestido Estela Largo Estampado;Unidad;150;27;26;25
Vestido Largo;Kids Fashion;VHE;Vestido Hermana Estampado;Unidad;150;27;26;25
Vestido Largo;Kids Fashion;VACE;Vestido Argolla Color Entero;Unidad;150;27;26;25
Vestido Largo;Kids Fashion;VMACE;Vestido Manga Acero Color Entero;Unidad;150;27;26;25
Vestido Largo;Kids Fashion;VAPCE;Vestido Amarre en el Pecho Color Entero;Unidad;150;27;26;25
Vestido Largo;Kids Fashion;VSC;Vestido Ston Cuadros;Unidad;150;22;21;20
Vestido Largo;Kids Fashion;JCS-M;Jamper Cuadros S-M;Unidad;150;22;21;20
Faldas;Kids Fashion;FS-SML;Falda Ston S-M-L;Unidad;150;20;19;18
Faldas;Kids Fashion;FL-SML;Falda Loma S-M-L;Unidad;150;22;21;20
Faldas;Kids Fashion;FSC-SML;Falda Short Cuadros S-M-L;Unidad;150;19;18;17
Faldas;Kids Fashion;FCC-SML;Falda Corta Chalis S-M-L;Unidad;150;13;12;11
Faldas;Kids Fashion;FC-SML;Faldon Chalis S-M-L;Unidad;150;17;16;15
